nct_id,canonical_drug,disease,score,baseline_p,counterfactual_p,delta_p,feasibility
NCT04644237,trastuzumab,nsclc,BFS,0.5607,0.5629,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT04644237,trastuzumab,nsclc,CDS,0.5607,0.5618,0.0011,LOW - requires fundamental biology change
NCT04644237,trastuzumab,nsclc,TWS,0.5607,0.5573,-0.0034,MEDIUM - dose optimization or patient selection
NCT04864067,capecitabine,colorectal cancer,TDS,0.2949,0.7243,0.4294,MEDIUM - combination therapy or target validation
NCT04864067,capecitabine,colorectal cancer,MCS,0.2949,0.292,-0.0029,MEDIUM - modality switch or formulation change
NCT04864067,capecitabine,colorectal cancer,EMS,0.2949,0.2964,0.0015,HIGH - invest in translational/mechanistic studies
NCT04864067,capecitabine,colorectal cancer,BFS,0.2949,0.2968,0.0019,HIGH - biomarker enrichment is a clinical design choice
NCT04864067,capecitabine,colorectal cancer,CDS,0.2949,0.3003,0.0054,LOW - requires fundamental biology change
NCT04864067,capecitabine,colorectal cancer,TWS,0.2949,0.2921,-0.0028,MEDIUM - dose optimization or patient selection
NCT04700072,pembrolizumab,melanoma,TDS,0.493,0.9586,0.4656,MEDIUM - combination therapy or target validation
NCT04700072,pembrolizumab,melanoma,MCS,0.493,0.4895,-0.0035,MEDIUM - modality switch or formulation change
NCT04700072,pembrolizumab,melanoma,EMS,0.493,0.4912,-0.0018,HIGH - invest in translational/mechanistic studies
NCT04700072,pembrolizumab,melanoma,BFS,0.493,0.4952,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT04700072,pembrolizumab,melanoma,CDS,0.493,0.4995,0.0065,LOW - requires fundamental biology change
NCT04700072,pembrolizumab,melanoma,TWS,0.493,0.4896,-0.0034,MEDIUM - dose optimization or patient selection
NCT04266795,venetoclax,leukemia,TDS,0.3403,0.8197,0.4793,MEDIUM - combination therapy or target validation
NCT04266795,venetoclax,leukemia,MCS,0.3403,0.3382,-0.0021,MEDIUM - modality switch or formulation change
NCT04266795,venetoclax,leukemia,EMS,0.3403,0.3429,0.0026,HIGH - invest in translational/mechanistic studies
NCT04266795,venetoclax,leukemia,BFS,0.3403,0.3423,0.002,HIGH - biomarker enrichment is a clinical design choice
NCT04266795,venetoclax,leukemia,CDS,0.3403,0.3413,0.001,LOW - requires fundamental biology change
NCT04266795,venetoclax,leukemia,TWS,0.3403,0.3373,-0.0031,MEDIUM - dose optimization or patient selection
NCT02927301,atezolizumab,nsclc,TDS,0.4834,0.97,0.4866,MEDIUM - combination therapy or target validation
NCT02927301,atezolizumab,nsclc,MCS,0.4834,0.4827,-0.0007,MEDIUM - modality switch or formulation change
NCT02927301,atezolizumab,nsclc,EMS,0.4834,0.4816,-0.0018,HIGH - invest in translational/mechanistic studies
NCT02927301,atezolizumab,nsclc,BFS,0.4834,0.4856,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT02927301,atezolizumab,nsclc,CDS,0.4834,0.4899,0.0065,LOW - requires fundamental biology change
NCT02927301,atezolizumab,nsclc,TWS,0.4834,0.48,-0.0034,MEDIUM - dose optimization or patient selection
NCT04553939,gemcitabine,bladder cancer,TDS,0.3463,0.7648,0.4185,MEDIUM - combination therapy or target validation
NCT04553939,gemcitabine,bladder cancer,MCS,0.3463,0.3431,-0.0032,MEDIUM - modality switch or formulation change
NCT04553939,gemcitabine,bladder cancer,EMS,0.3463,0.3479,0.0016,HIGH - invest in translational/mechanistic studies
NCT04553939,gemcitabine,bladder cancer,BFS,0.3463,0.3483,0.002,HIGH - biomarker enrichment is a clinical design choice
NCT04553939,gemcitabine,bladder cancer,CDS,0.3463,0.3522,0.0059,LOW - requires fundamental biology change
NCT04553939,gemcitabine,bladder cancer,TWS,0.3463,0.3432,-0.0031,MEDIUM - dose optimization or patient selection
NCT02593175,panitumumab,breast cancer,TDS,0.4104,0.9298,0.5194,MEDIUM - combination therapy or target validation
NCT02593175,panitumumab,breast cancer,MCS,0.4104,0.4109,0.0004,MEDIUM - modality switch or formulation change
NCT02593175,panitumumab,breast cancer,EMS,0.4104,0.4132,0.0028,HIGH - invest in translational/mechanistic studies
NCT02593175,panitumumab,breast cancer,BFS,0.4104,0.4126,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT02593175,panitumumab,breast cancer,CDS,0.4104,0.4115,0.0011,LOW - requires fundamental biology change
NCT02593175,panitumumab,breast cancer,TWS,0.4104,0.4071,-0.0033,MEDIUM - dose optimization or patient selection
NCT03093831,ibrutinib,lymphoma,TDS,0.5555,0.8991,0.3437,MEDIUM - combination therapy or target validation
NCT03093831,ibrutinib,lymphoma,MCS,0.5555,0.5531,-0.0024,MEDIUM - modality switch or formulation change
NCT03093831,ibrutinib,lymphoma,EMS,0.5555,0.5537,-0.0018,HIGH - invest in translational/mechanistic studies
NCT03093831,ibrutinib,lymphoma,BFS,0.5555,0.5577,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03093831,ibrutinib,lymphoma,CDS,0.5555,0.5566,0.0011,LOW - requires fundamental biology change
NCT03093831,ibrutinib,lymphoma,TWS,0.5555,0.5521,-0.0034,MEDIUM - dose optimization or patient selection
NCT04452877,dabrafenib,cancer nos,TDS,0.3289,0.8706,0.5417,MEDIUM - combination therapy or target validation
NCT04452877,dabrafenib,cancer nos,MCS,0.3289,0.3283,-0.0006,MEDIUM - modality switch or formulation change
NCT04452877,dabrafenib,cancer nos,EMS,0.3289,0.3305,0.0016,HIGH - invest in translational/mechanistic studies
NCT04452877,dabrafenib,cancer nos,BFS,0.3289,0.3309,0.002,HIGH - biomarker enrichment is a clinical design choice
NCT04452877,dabrafenib,cancer nos,CDS,0.3289,0.3299,0.001,LOW - requires fundamental biology change
NCT04452877,dabrafenib,cancer nos,TWS,0.3289,0.3259,-0.003,MEDIUM - dose optimization or patient selection
NCT03101254,vemurafenib,melanoma,TDS,0.3061,0.8592,0.5531,MEDIUM - combination therapy or target validation
NCT03101254,vemurafenib,melanoma,MCS,0.3061,0.3065,0.0004,MEDIUM - modality switch or formulation change
NCT03101254,vemurafenib,melanoma,EMS,0.3061,0.3085,0.0024,HIGH - invest in translational/mechanistic studies
NCT03101254,vemurafenib,melanoma,BFS,0.3061,0.308,0.0019,HIGH - biomarker enrichment is a clinical design choice
NCT03101254,vemurafenib,melanoma,CDS,0.3061,0.3071,0.0009,LOW - requires fundamental biology change
NCT03101254,vemurafenib,melanoma,TWS,0.3061,0.3032,-0.0029,MEDIUM - dose optimization or patient selection
NCT03892642,avelumab,bladder cancer,TDS,0.4846,0.9701,0.4855,MEDIUM - combination therapy or target validation
NCT03892642,avelumab,bladder cancer,MCS,0.4846,0.484,-0.0007,MEDIUM - modality switch or formulation change
NCT03892642,avelumab,bladder cancer,EMS,0.4846,0.4828,-0.0018,HIGH - invest in translational/mechanistic studies
NCT03892642,avelumab,bladder cancer,BFS,0.4846,0.4868,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03892642,avelumab,bladder cancer,CDS,0.4846,0.4911,0.0065,LOW - requires fundamental biology change
NCT03892642,avelumab,bladder cancer,TWS,0.4846,0.4812,-0.0034,MEDIUM - dose optimization or patient selection
NCT02924883,atezolizumab,breast cancer,TDS,0.5157,0.9734,0.4577,MEDIUM - combination therapy or target validation
NCT02924883,atezolizumab,breast cancer,MCS,0.5157,0.515,-0.0007,MEDIUM - modality switch or formulation change
NCT02924883,atezolizumab,breast cancer,EMS,0.5157,0.5139,-0.0018,HIGH - invest in translational/mechanistic studies
NCT02924883,atezolizumab,breast cancer,BFS,0.5157,0.5179,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT02924883,atezolizumab,breast cancer,CDS,0.5157,0.5222,0.0065,LOW - requires fundamental biology change
NCT02924883,atezolizumab,breast cancer,TWS,0.5157,0.5123,-0.0034,MEDIUM - dose optimization or patient selection
NCT02915783,lenvatinib,renal cell carcinoma,TDS,0.5193,0.9114,0.3921,MEDIUM - combination therapy or target validation
NCT02915783,lenvatinib,renal cell carcinoma,MCS,0.5193,0.5158,-0.0035,MEDIUM - modality switch or formulation change
NCT02915783,lenvatinib,renal cell carcinoma,EMS,0.5193,0.5211,0.0018,HIGH - invest in translational/mechanistic studies
NCT02915783,lenvatinib,renal cell carcinoma,BFS,0.5193,0.5216,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT02915783,lenvatinib,renal cell carcinoma,CDS,0.5193,0.5258,0.0065,LOW - requires fundamental biology change
NCT02915783,lenvatinib,renal cell carcinoma,TWS,0.5193,0.5159,-0.0034,MEDIUM - dose optimization or patient selection
NCT02532257,ibrutinib,lymphoma,TDS,0.5555,0.8991,0.3437,MEDIUM - combination therapy or target validation
NCT02532257,ibrutinib,lymphoma,MCS,0.5555,0.5531,-0.0024,MEDIUM - modality switch or formulation change
NCT02532257,ibrutinib,lymphoma,EMS,0.5555,0.5537,-0.0018,HIGH - invest in translational/mechanistic studies
NCT02532257,ibrutinib,lymphoma,BFS,0.5555,0.5577,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT02532257,ibrutinib,lymphoma,CDS,0.5555,0.5566,0.0011,LOW - requires fundamental biology change
NCT02532257,ibrutinib,lymphoma,TWS,0.5555,0.5521,-0.0034,MEDIUM - dose optimization or patient selection
NCT02511132,gemcitabine,cancer nos,TDS,0.3199,0.7427,0.4229,MEDIUM - combination therapy or target validation
NCT02511132,gemcitabine,cancer nos,MCS,0.3199,0.3168,-0.003,MEDIUM - modality switch or formulation change
NCT02511132,gemcitabine,cancer nos,EMS,0.3199,0.3214,0.0016,HIGH - invest in translational/mechanistic studies
NCT02511132,gemcitabine,cancer nos,BFS,0.3199,0.3218,0.0019,HIGH - biomarker enrichment is a clinical design choice
NCT02511132,gemcitabine,cancer nos,CDS,0.3199,0.3255,0.0057,LOW - requires fundamental biology change
NCT02511132,gemcitabine,cancer nos,TWS,0.3199,0.3169,-0.003,MEDIUM - dose optimization or patient selection
NCT03892421,rituximab,lymphoma,TDS,0.4904,0.8715,0.3811,MEDIUM - combination therapy or target validation
NCT03892421,rituximab,lymphoma,MCS,0.4904,0.4869,-0.0035,MEDIUM - modality switch or formulation change
NCT03892421,rituximab,lymphoma,EMS,0.4904,0.4922,0.0018,HIGH - invest in translational/mechanistic studies
NCT03892421,rituximab,lymphoma,BFS,0.4904,0.4926,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03892421,rituximab,lymphoma,CDS,0.4904,0.4969,0.0065,LOW - requires fundamental biology change
NCT03892421,rituximab,lymphoma,TWS,0.4904,0.487,-0.0034,MEDIUM - dose optimization or patient selection
NCT03197467,pembrolizumab,nsclc,TDS,0.4934,0.9587,0.4653,MEDIUM - combination therapy or target validation
NCT03197467,pembrolizumab,nsclc,MCS,0.4934,0.4899,-0.0035,MEDIUM - modality switch or formulation change
NCT03197467,pembrolizumab,nsclc,EMS,0.4934,0.4916,-0.0018,HIGH - invest in translational/mechanistic studies
NCT03197467,pembrolizumab,nsclc,BFS,0.4934,0.4957,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03197467,pembrolizumab,nsclc,CDS,0.4934,0.4999,0.0065,LOW - requires fundamental biology change
NCT03197467,pembrolizumab,nsclc,TWS,0.4934,0.49,-0.0034,MEDIUM - dose optimization or patient selection
NCT03989336,paclitaxel,ovarian cancer,TDS,0.3545,0.8934,0.5388,MEDIUM - combination therapy or target validation
NCT03989336,paclitaxel,ovarian cancer,MCS,0.3545,0.3513,-0.0032,MEDIUM - modality switch or formulation change
NCT03989336,paclitaxel,ovarian cancer,EMS,0.3545,0.3529,-0.0016,HIGH - invest in translational/mechanistic studies
NCT03989336,paclitaxel,ovarian cancer,BFS,0.3545,0.3566,0.002,HIGH - biomarker enrichment is a clinical design choice
NCT03989336,paclitaxel,ovarian cancer,CDS,0.3545,0.3605,0.006,LOW - requires fundamental biology change
NCT03989336,paclitaxel,ovarian cancer,TWS,0.3545,0.3514,-0.0031,MEDIUM - dose optimization or patient selection
NCT03510871,nivolumab,hepatocellular carcinoma,TDS,0.5285,0.9636,0.4352,MEDIUM - combination therapy or target validation
NCT03510871,nivolumab,hepatocellular carcinoma,MCS,0.5285,0.525,-0.0035,MEDIUM - modality switch or formulation change
NCT03510871,nivolumab,hepatocellular carcinoma,EMS,0.5285,0.5267,-0.0018,HIGH - invest in translational/mechanistic studies
NCT03510871,nivolumab,hepatocellular carcinoma,BFS,0.5285,0.5307,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03510871,nivolumab,hepatocellular carcinoma,CDS,0.5285,0.535,0.0065,LOW - requires fundamental biology change
NCT03510871,nivolumab,hepatocellular carcinoma,TWS,0.5285,0.5251,-0.0034,MEDIUM - dose optimization or patient selection
NCT03990571,avelumab,cancer nos,TDS,0.4517,0.9659,0.5142,MEDIUM - combination therapy or target validation
NCT03990571,avelumab,cancer nos,MCS,0.4517,0.4511,-0.0007,MEDIUM - modality switch or formulation change
NCT03990571,avelumab,cancer nos,EMS,0.4517,0.4535,0.0018,HIGH - invest in translational/mechanistic studies
NCT03990571,avelumab,cancer nos,BFS,0.4517,0.4539,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03990571,avelumab,cancer nos,CDS,0.4517,0.4582,0.0064,LOW - requires fundamental biology change
NCT03990571,avelumab,cancer nos,TWS,0.4517,0.4483,-0.0034,MEDIUM - dose optimization or patient selection
NCT03828799,regorafenib,colorectal cancer,TDS,0.5258,0.9135,0.3877,MEDIUM - combination therapy or target validation
NCT03828799,regorafenib,colorectal cancer,MCS,0.5258,0.5223,-0.0035,MEDIUM - modality switch or formulation change
NCT03828799,regorafenib,colorectal cancer,EMS,0.5258,0.5276,0.0018,HIGH - invest in translational/mechanistic studies
NCT03828799,regorafenib,colorectal cancer,BFS,0.5258,0.528,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03828799,regorafenib,colorectal cancer,CDS,0.5258,0.5323,0.0065,LOW - requires fundamental biology change
NCT03828799,regorafenib,colorectal cancer,TWS,0.5258,0.5224,-0.0034,MEDIUM - dose optimization or patient selection
NCT02958852,letrozole,breast cancer,TDS,0.2848,0.8698,0.585,MEDIUM - combination therapy or target validation
NCT02958852,letrozole,breast cancer,MCS,0.2848,0.2819,-0.0028,MEDIUM - modality switch or formulation change
NCT02958852,letrozole,breast cancer,EMS,0.2848,0.2862,0.0015,HIGH - invest in translational/mechanistic studies
NCT02958852,letrozole,breast cancer,BFS,0.2848,0.2866,0.0018,HIGH - biomarker enrichment is a clinical design choice
NCT02958852,letrozole,breast cancer,CDS,0.2848,0.2901,0.0053,LOW - requires fundamental biology change
NCT02958852,letrozole,breast cancer,TWS,0.2848,0.282,-0.0028,MEDIUM - dose optimization or patient selection
NCT03671330,ribociclib,breast cancer,TDS,0.4943,0.9406,0.4463,MEDIUM - combination therapy or target validation
NCT03671330,ribociclib,breast cancer,MCS,0.4943,0.4948,0.0005,MEDIUM - modality switch or formulation change
NCT03671330,ribociclib,breast cancer,EMS,0.4943,0.4936,-0.0007,HIGH - invest in translational/mechanistic studies
NCT03671330,ribociclib,breast cancer,BFS,0.4943,0.4965,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03671330,ribociclib,breast cancer,CDS,0.4943,0.4954,0.0011,LOW - requires fundamental biology change
NCT03671330,ribociclib,breast cancer,TWS,0.4943,0.4909,-0.0034,MEDIUM - dose optimization or patient selection
NCT03873493,ibrutinib,leukemia,TDS,0.5567,0.8996,0.343,MEDIUM - combination therapy or target validation
NCT03873493,ibrutinib,leukemia,MCS,0.5567,0.5543,-0.0024,MEDIUM - modality switch or formulation change
NCT03873493,ibrutinib,leukemia,EMS,0.5567,0.5549,-0.0018,HIGH - invest in translational/mechanistic studies
NCT03873493,ibrutinib,leukemia,BFS,0.5567,0.5589,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03873493,ibrutinib,leukemia,CDS,0.5567,0.5578,0.0011,LOW - requires fundamental biology change
NCT03873493,ibrutinib,leukemia,TWS,0.5567,0.5533,-0.0034,MEDIUM - dose optimization or patient selection
NCT03041311,atezolizumab,cancer nos,TDS,0.4517,0.9659,0.5142,MEDIUM - combination therapy or target validation
NCT03041311,atezolizumab,cancer nos,MCS,0.4517,0.4511,-0.0007,MEDIUM - modality switch or formulation change
NCT03041311,atezolizumab,cancer nos,EMS,0.4517,0.4535,0.0018,HIGH - invest in translational/mechanistic studies
NCT03041311,atezolizumab,cancer nos,BFS,0.4517,0.4539,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03041311,atezolizumab,cancer nos,CDS,0.4517,0.4582,0.0064,LOW - requires fundamental biology change
NCT03041311,atezolizumab,cancer nos,TWS,0.4517,0.4483,-0.0034,MEDIUM - dose optimization or patient selection
NCT04933695,sotorasib,nsclc,TDS,0.696,0.9595,0.2635,MEDIUM - combination therapy or target validation
NCT04933695,sotorasib,nsclc,MCS,0.696,0.6964,0.0004,MEDIUM - modality switch or formulation change
NCT04933695,sotorasib,nsclc,EMS,0.696,0.6984,0.0024,HIGH - invest in translational/mechanistic studies
NCT04933695,sotorasib,nsclc,BFS,0.696,0.6979,0.0019,HIGH - biomarker enrichment is a clinical design choice
NCT04933695,sotorasib,nsclc,CDS,0.696,0.697,0.0009,LOW - requires fundamental biology change
NCT04933695,sotorasib,nsclc,TWS,0.696,0.6931,-0.0029,MEDIUM - dose optimization or patient selection
NCT02985957,nivolumab,prostate cancer,TDS,0.5297,0.9638,0.4341,MEDIUM - combination therapy or target validation
NCT02985957,nivolumab,prostate cancer,MCS,0.5297,0.5263,-0.0035,MEDIUM - modality switch or formulation change
NCT02985957,nivolumab,prostate cancer,EMS,0.5297,0.528,-0.0018,HIGH - invest in translational/mechanistic studies
NCT02985957,nivolumab,prostate cancer,BFS,0.5297,0.532,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT02985957,nivolumab,prostate cancer,CDS,0.5297,0.5362,0.0065,LOW - requires fundamental biology change
NCT02985957,nivolumab,prostate cancer,TWS,0.5297,0.5263,-0.0034,MEDIUM - dose optimization or patient selection
NCT05593328,bevacizumab,colorectal cancer,TDS,0.4118,0.8666,0.4548,MEDIUM - combination therapy or target validation
NCT05593328,bevacizumab,colorectal cancer,MCS,0.4118,0.4111,-0.0006,MEDIUM - modality switch or formulation change
NCT05593328,bevacizumab,colorectal cancer,EMS,0.4118,0.4135,0.0017,HIGH - invest in translational/mechanistic studies
NCT05593328,bevacizumab,colorectal cancer,BFS,0.4118,0.4139,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT05593328,bevacizumab,colorectal cancer,CDS,0.4118,0.4129,0.0011,LOW - requires fundamental biology change
NCT05593328,bevacizumab,colorectal cancer,TWS,0.4118,0.4084,-0.0033,MEDIUM - dose optimization or patient selection
NCT03977467,atezolizumab,nsclc,TDS,0.4834,0.97,0.4866,MEDIUM - combination therapy or target validation
NCT03977467,atezolizumab,nsclc,MCS,0.4834,0.4827,-0.0007,MEDIUM - modality switch or formulation change
NCT03977467,atezolizumab,nsclc,EMS,0.4834,0.4816,-0.0018,HIGH - invest in translational/mechanistic studies
NCT03977467,atezolizumab,nsclc,BFS,0.4834,0.4856,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03977467,atezolizumab,nsclc,CDS,0.4834,0.4899,0.0065,LOW - requires fundamental biology change
NCT03977467,atezolizumab,nsclc,TWS,0.4834,0.48,-0.0034,MEDIUM - dose optimization or patient selection
NCT03958045,nivolumab,cancer nos,TDS,0.4582,0.9524,0.4942,MEDIUM - combination therapy or target validation
NCT03958045,nivolumab,cancer nos,MCS,0.4582,0.4547,-0.0035,MEDIUM - modality switch or formulation change
NCT03958045,nivolumab,cancer nos,EMS,0.4582,0.46,0.0018,HIGH - invest in translational/mechanistic studies
NCT03958045,nivolumab,cancer nos,BFS,0.4582,0.4604,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03958045,nivolumab,cancer nos,CDS,0.4582,0.4646,0.0065,LOW - requires fundamental biology change
NCT03958045,nivolumab,cancer nos,TWS,0.4582,0.4548,-0.0034,MEDIUM - dose optimization or patient selection
NCT03534180,venetoclax,lymphoma,TDS,0.3445,0.8223,0.4778,MEDIUM - combination therapy or target validation
NCT03534180,venetoclax,lymphoma,MCS,0.3445,0.3423,-0.0021,MEDIUM - modality switch or formulation change
NCT03534180,venetoclax,lymphoma,EMS,0.3445,0.3471,0.0026,HIGH - invest in translational/mechanistic studies
NCT03534180,venetoclax,lymphoma,BFS,0.3445,0.3465,0.002,HIGH - biomarker enrichment is a clinical design choice
NCT03534180,venetoclax,lymphoma,CDS,0.3445,0.3455,0.001,LOW - requires fundamental biology change
NCT03534180,venetoclax,lymphoma,TWS,0.3445,0.3414,-0.0031,MEDIUM - dose optimization or patient selection
NCT03194373,palbociclib,hnscc,TDS,0.5366,0.9491,0.4125,MEDIUM - combination therapy or target validation
NCT03194373,palbociclib,hnscc,MCS,0.5366,0.5359,-0.0007,MEDIUM - modality switch or formulation change
NCT03194373,palbociclib,hnscc,EMS,0.5366,0.5394,0.0028,HIGH - invest in translational/mechanistic studies
NCT03194373,palbociclib,hnscc,BFS,0.5366,0.5388,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03194373,palbociclib,hnscc,CDS,0.5366,0.5377,0.0011,LOW - requires fundamental biology change
NCT03194373,palbociclib,hnscc,TWS,0.5366,0.5332,-0.0034,MEDIUM - dose optimization or patient selection
NCT05653427,unmapped,hepatocellular carcinoma,TDS,0.8813,0.8794,-0.0019,MEDIUM - combination therapy or target validation
NCT05653427,unmapped,hepatocellular carcinoma,MCS,0.8813,0.8798,-0.0015,MEDIUM - modality switch or formulation change
NCT05653427,unmapped,hepatocellular carcinoma,EMS,0.8813,0.882,0.0008,HIGH - invest in translational/mechanistic studies
NCT05653427,unmapped,hepatocellular carcinoma,BFS,0.8813,0.8822,0.0009,HIGH - biomarker enrichment is a clinical design choice
